,0,1
0,AL,FL
1,AL,GA
2,AL,MS
3,AL,TN
4,AR,LA
5,AR,MO
6,AR,MS
7,AR,OK
8,AR,TN
9,AR,TX
10,AZ,CA
11,AZ,CO
12,AZ,NM
13,AZ,NV
14,AZ,UT
15,CA,NV
16,CA,OR
17,CO,KS
18,CO,NE
19,CO,NM
20,CO,OK
21,CO,UT
22,CO,WY
23,CT,MA
24,CT,NY
25,CT,RI
26,DE,MD
27,DE,NJ
28,DE,PA
29,FL,GA
30,GA,NC
31,GA,SC
32,GA,TN
33,IA,IL
34,IA,MN
35,IA,MO
36,IA,NE
37,IA,SD
38,IA,WI
39,ID,MT
40,ID,NV
41,ID,OR
42,ID,UT
43,ID,WA
44,ID,WY
45,IL,IN
46,IL,KY
47,IL,MO
48,IL,WI
49,IN,KY
50,IN,MI
51,IN,OH
52,KS,MO
53,KS,NE
54,KS,OK
55,KY,MO
56,KY,OH
57,KY,TN
58,KY,VA
59,KY,WV
60,LA,MS
61,LA,TX
62,MA,NH
63,MA,NY
64,MA,RI
65,MA,VT
66,MD,PA
67,MD,VA
68,MD,WV
69,ME,NH
70,MI,OH
71,MI,WI
72,MN,ND
73,MN,SD
74,MN,WI
75,MO,NE
76,MO,OK
77,MO,TN
78,MS,TN
79,MT,ND
80,MT,SD
81,MT,WY
82,NC,SC
83,NC,TN
84,NC,VA
85,ND,SD
86,NE,SD
87,NE,WY
88,NH,VT
89,NJ,NY
90,NJ,PA
91,NM,OK
92,NM,TX
93,NM,UT
94,NV,OR
95,NV,UT
96,NY,PA
97,NY,VT
98,OH,PA
99,OH,WV
100,OK,TX
101,OR,WA
102,PA,WV
103,SD,WY
104,TN,VA
105,UT,WY
106,VA,WV
